,region,week_last_day,epidemiological_week,total_inhabitants,last_available_confirmed,last_available_deaths,new_week_cases,new_week_deaths,prevalence,mortality,lethality,incidence_cases,incidence_deaths,cases_growth_factor,deaths_growth_factor,new_week_cases_mm,new_week_deaths_mm,incidence_cases_mm,incidence_deaths_mm
113,Nordeste,08/08/2020,32,57374243.051191874,949712,30608,76930,1638,1655.2932979919653,53.34798050876274,3.222871775864683,134.08455764960524,2.854939626024352,0.8706034131546784,0.9264705882352942,85071,1795,148.27385160288011,3.129743542001055
114,Nordeste,15/08/2020,33,57374243.051191874,1019116,32128,69404,1520,1776.2604712548434,55.997252933400716,3.1525361195388943,120.96717326287798,2.6492724246379824,0.9021708046275835,0.927960927960928,78232,1642,136.3550305959836,2.8619113955628728
115,Nordeste,22/08/2020,34,57374243.051191874,1079216,33578,60100,1450,1881.0113085711214,58.52451939111459,3.1113326711242237,104.75083731627811,2.5272664577138646,0.8659443259754481,0.9539473684210527,68811,1536,119.93418940958712,2.6771595027920667
116,Nordeste,29/08/2020,35,57374243.051191874,1139333,34859,60117,1281,1985.7917759079382,60.757228585825935,3.059597150262478,104.78046733681683,2.232709194711352,1.0002828618968387,0.883448275862069,63207,1417,110.1661593053243,2.4697493590210664
117,Nordeste,05/09/2020,36,57374243.051191874,1191702,35885,52369,1026,2077.06792564864,62.54548747245657,3.011239387027965,91.27614974070164,1.788258886630638,0.8711179865928107,0.8009367681498829,57528,1252,100.26915146459885,2.1827448463519517
118,Nordeste,12/09/2020,37,57374243.051191874,1229045,36841,37343,956,2142.1546231178872,64.2117403921631,2.997530603029181,65.08669746924748,1.6662529197065203,0.7130745288243044,0.9317738791423001,49943,1087,87.04777151558865,1.8957403336828367
119,Nordeste,19/09/2020,38,57374243.051191874,1270058,37747,41013,906,2213.6379191387277,65.7908461926381,2.972068992124769,71.4832960208405,1.5791058004750078,1.0982781244142141,0.9476987447698745,43575,962,75.94871441026321,1.6778725356040554
120,Nordeste,26/09/2020,39,57374243.051191874,1306243,38670,36185,923,2276.7062893265734,67.39958201365182,2.960398639456824,63.06837018784565,1.6087358210137221,0.8822812279033477,1.0187637969094923,38180,928,66.54612122597787,1.61803151373175
121,Nordeste,03/10/2020,40,57374243.051191874,1339861,39593,33618,923,2335.3005264130734,69.00831783466555,2.955008019488589,58.594237086499795,1.6087358210137221,0.9290590023490397,1.0,36938,917,64.38196776506199,1.5988591475008171
122,Nordeste,10/10/2020,41,57374243.051191874,1385450,40277,45589,684,2414.759526785982,70.20049042575263,2.9071420837994877,79.45900037290853,1.192172591087092,1.3560889999405081,0.7410617551462622,38464,843,67.040535882418,1.4698814110381786
123,Nordeste,17/10/2020,42,57374243.051191874,1418007,41030,32557,753,2471.504502002389,71.51292604137922,2.8934977048773387,56.7449752164071,1.3124356156265793,0.7141415692381934,1.1008771929824561,37254,786,64.93273755860514,1.371114675909131
124,Nordeste,24/10/2020,43,57374243.051191874,1451629,41569,33622,539,2530.1057108584273,72.45237198669493,2.863610467963922,58.60120885603831,0.9394459453157056,1.0327118592007862,0.7158034528552457,37256,658,64.93506148178464,1.1480180506764588
125,Nordeste,31/10/2020,44,57374243.051191874,1479390,42190,27761,621,2578.491534398148,73.53473920755032,2.8518511007915426,48.38582353972041,1.082367220855386,0.8256796145381,1.1521335807050093,31313,637,54.577335870721946,1.1114162605992237
126,Nordeste,07/11/2020,45,57374243.051191874,1505708,42743,26318,553,2624.3622920768466,74.49858634625083,2.838731015575397,45.87075767869896,0.9638471387005291,0.9480206044450848,0.8904991948470209,29233,571,50.952596691485894,0.9952201016238735
127,Nordeste,14/11/2020,46,57374243.051191874,1537847,43267,32139,524,2680.3787173764786,75.41188815579709,2.8134788441242855,56.01642529963165,0.9133018095462517,1.221179420928642,0.9475587703435805,28739,566,50.091002172683666,0.9865053897007222
128,Nordeste,21/11/2020,47,57374243.051191874,1573263,43791,35416,524,2742.1067648705434,76.32518996534334,2.7834507008681957,61.72804749406499,0.9133018095462517,1.1019633467127166,1.0,31291,533,54.5384101574652,0.9301502525976776
129,Nordeste,28/11/2020,48,57374243.051191874,1622972,44371,49709,580,2828.7466878681284,77.33609654842888,2.7339350278378185,86.63992299758517,1.010906583085546,1.4035746555229276,1.1068702290076335,39088,542,68.12813193042727,0.9458367340593498
130,Nordeste,05/12/2020,49,57374243.051191874,1674042,44990,51070,619,2917.7587554511956,78.41497788451501,2.687507242948504,89.01206758306694,1.0788813360861256,1.0273793478042206,1.0672413793103448,45398,574,79.12667935823903,1.0010299095726412
